anio,beneficio,tamano,porcentaje
2024,Contacto más rápido con clientes,General,60.06810768830761
2024,Contacto más rápido con clientes,Micro,59.85401459854014
2024,Contacto más rápido con clientes,Pequeña,62.50466891647225
2024,Contacto más rápido con clientes,Mediana,60.81330868761551
2024,Solicitud de pedidos más ágil,General,39.686601307324054
2024,Solicitud de pedidos más ágil,Micro,39.24761370016846
2024,Solicitud de pedidos más ágil,Pequeña,44.82617166237406
2024,Solicitud de pedidos más ágil,Mediana,40.110905730129396
2024,Mayor competitividad en el mercado,General,37.76529412895583
2024,Mayor competitividad en el mercado,Micro,38.23694553621561
2024,Mayor competitividad en el mercado,Pequeña,33.72978271557714
2024,Mayor competitividad en el mercado,Mediana,25.87800369685767
2024,Facilita el control de ventas,General,23.699597031445457
2024,Facilita el control de ventas,Micro,24.480628860190905
2024,Facilita el control de ventas,Pequeña,14.534555313298233
2024,Facilita el control de ventas,Mediana,23.105360443622924
