periodo,tipo,indicador,variable,sexo,personas,universo,porcentaje,porcentaje_mostrado
2025,resumen,Usuarios de redes sociales,P7_15=1,Mujeres,49285346,64213725,76.7520432742377,77
2025,destacado,WhatsApp,P7_16_6=1,Mujeres,44401185,49285346,90.09003406408063,90
2025,indicador,Facebook,P7_16_1=1,Mujeres,38030910,49285346,77.1647418281288,77
2025,indicador,YouTube,P7_16_7=1,Mujeres,18703263,49285346,37.9489331372453,38
2025,indicador,Instagram,P7_16_3=1,Mujeres,19726762,49285346,40.02561329284367,40
2025,indicador,Messenger,P7_16_9=1,Mujeres,10086511,49285346,20.465537565669116,20
2025,indicador,TikTok,P7_16_10=1,Mujeres,19957311,49285346,40.49339736805337,40
2025,indicador,X (antes Twitter),P7_16_2=1,Mujeres,2283494,49285346,4.6332108533842895,5
2025,indicador,Snapchat,P7_16_5=1,Mujeres,1427336,49285346,2.8960656987170186,3
2025,indicador,Pinterest,P7_16_8=1,Mujeres,2188297,49285346,4.440056076708887,4
2025,indicador,LinkedIn,P7_16_4=1,Mujeres,525254,49285346,1.0657407173320848,1
2025,resumen,Usuarios de redes sociales,P7_15=1,Hombres,44246844,57693032,76.69356673783413,77
2025,destacado,WhatsApp,P7_16_6=1,Hombres,40021473,44246844,90.45045789028478,90
2025,indicador,Facebook,P7_16_1=1,Hombres,33452146,44246844,75.60346224919454,76
2025,indicador,YouTube,P7_16_7=1,Hombres,18134721,44246844,40.985343497041285,41
2025,indicador,Instagram,P7_16_3=1,Hombres,16606456,44246844,37.53139093943062,38
2025,indicador,Messenger,P7_16_9=1,Hombres,9297512,44246844,21.012825231105747,21
2025,indicador,TikTok,P7_16_10=1,Hombres,15759661,44246844,35.61759342655038,36
2025,indicador,X (antes Twitter),P7_16_2=1,Hombres,3497193,44246844,7.903824733804743,8
2025,indicador,Snapchat,P7_16_5=1,Hombres,762360,44246844,1.7229703433763548,2
2025,indicador,Pinterest,P7_16_8=1,Hombres,957070,44246844,2.163024327791605,2
2025,indicador,LinkedIn,P7_16_4=1,Hombres,690842,44246844,1.5613362164316171,2
