figure_id,calculation_id,formula,inputs_json,result,unit,decimals
A.1,pib_miles_millones_ultimo_periodo,pib_millones_pesos / 1000,"{""periodo"": ""2026-T2"", ""pib_millones_pesos"": 26144132.442}",26144.13,miles de millones de pesos,2
A.1,tyr_miles_millones_ultimo_periodo,(telecom_millones_pesos + radio_tv_millones_pesos) / 1000,"{""periodo"": ""2026-T2"", ""telecom_millones_pesos"": 392043.758, ""radio_tv_millones_pesos"": 48372.236}",440.42,miles de millones de pesos,2
A.1,participacion_tyr_ultimo_periodo,(telecom_millones_pesos + radio_tv_millones_pesos) / pib_millones_pesos * 100,"{""periodo"": ""2026-T2"", ""tyr_millones_pesos"": 440415.994, ""pib_millones_pesos"": 26144132.442}",1.6846,porcentaje,4
A.2,empleo_tyr_ultimo_periodo,telecomunicaciones_personas + radiodifusion_personas,"{""periodo"": ""2026-T2"", ""telecomunicaciones_personas"": 242348, ""radiodifusion_personas"": 36721}",279069,personas,0
A.2,distribucion_ultimo_periodo,personas_sector / total_personas * 100,"{""periodo"": ""2026-T2"", ""total_personas"": 279069}","{'telecomunicaciones_pct': 86.84, 'radiodifusion_pct': 13.16}",porcentaje,2
A.2,variacion_anual_empleo_tyr,(total_ultimo / total_mismo_trimestre_previo - 1) * 100,"{""periodo_ultimo"": ""2026-T2"", ""total_ultimo"": 279069, ""periodo_previo"": ""2025-T2"", ""total_previo"": 291646}",-4.31,porcentaje,2
A.2,extremos_serie_empleo_tyr,máximo y mínimo de total_personas en los periodos graficados,"{""periodos"": 27}","{'mayor_periodo': '2021-T4', 'mayor_total': 323048, 'menor_periodo': '2014-T4', 'menor_total': 216150}",personas,0
A.3,variacion_anual_inpc,(INPC último mes / INPC mismo mes año anterior - 1) * 100,"{""periodo_ultimo"": ""2026-08"", ""inpc_ultimo"": 145.462, ""periodo_previo"": ""2025-08"", ""inpc_previo"": 140.867}",3.26,porcentaje,2
A.3,variacion_ipcom_ultimo_corte,(IPCOM julio 2024 / IPCOM diciembre 2023 - 1) * 100,"{""ipcom_2024_07"": 90.402427, ""ipcom_2023_12"": 91.819751}",-1.54,porcentaje,2
A.3,ultimo_nivel_inpc,última observación publicada del INPC,"{""periodo"": ""2026-08""}",145.462,índice,3
A.4,inversion_total_ultimo_anio,"suma de INV_TOTAL_E / 1,000,000,000","{""anio"": 2024}",43.399,miles de millones de pesos,3
A.4,variacion_anual_inversion_total,(inversión total 2024 / inversión total 2023 - 1) * 100,"{""total_2024"": 43.39945, ""total_2023"": 56.454562}",-23.12,porcentaje,2
A.4,tipo_inversion_mayor_2024,máximo de participación por tipo en el último año,"{""anio"": 2024, ""participaciones"": {""Infraestructura"": 77.76992258479592, ""Otros Activos"": 9.28521417905121, ""Activos No Tangibles"": 12.944863236152859, ""No Especificada"": 0.0}}","{'categoria': 'Infraestructura', 'porcentaje': 77.77}",porcentaje,2
A.5,participacion_ied_telecom_ultimo_corte,IED telecomunicaciones del último corte / IED México del último corte * 100,"{""anio"": 2026, ""trimestre"": 1, ""ied_telecom"": -22.357641, ""ied_mexico"": 24503.050789}",-0.09,porcentaje,2
A.5,mayor_ied_telecom_periodo_mostrado,máximo de IED en telecomunicaciones en el periodo mostrado,"{""periodo"": ""2013-2026""}","{'anio': 2015, 'valor': 2749.7}",millones de dólares,2
A.5,menor_ied_telecom_periodo_mostrado,mínimo de IED en telecomunicaciones en el periodo mostrado,"{""periodo"": ""2013-2026""}","{'anio': 2014, 'valor': -4272.79}",millones de dólares,2
A.6,ingresos_ultimo_corte_completo,"suma de INGRESOS_TOTAL_E / 1,000,000,000","{""periodo"": ""2023-T4""}",159.144,miles de millones de pesos,3
A.6,margen_ultimo_corte_completo,ingresos * margen porcentual / 100,"{""ingresos"": 159.14371, ""margen_pct"": 29.0}",46.152,miles de millones de pesos,3
A.6,egresos_ultimo_corte_completo,ingresos - margen,"{""ingresos"": 159.14371, ""margen"": 46.151676}",112.992,miles de millones de pesos,3
A.6,ingresos_ultimo_corte_bit,"suma de INGRESOS_TOTAL_E del último trimestre encontrado / 1,000,000,000","{""periodo"": ""2024-T4""}",163.138,miles de millones de pesos,3
A.7,hogares_fijas_decil_1,suma(indicador * factor) / suma(factor) * 100,"{""anio"": 2024, ""decil"": 1, ""hogares_expandidos"": 3882924}","{'con_servicio_pct': 42.2, 'disponen_y_gastan_pct': 31.3}",porcentaje,1
